player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
20047642,Amit Moon,3067973,MAVERICKS,8,8,15,89,3,5.93,5.93,1,5.87,88,Right-arm fast,14.5,54
10654570,Nilesh Changade,3067980,STRIKERS,7,7,14,84,4,4.29,6.00,0,4.29,60,Right-arm medium,14.0,52
2930709,Vishal,3067980,STRIKERS,7,7,11,83,4,5.42,7.55,0,6.82,75,Right-arm medium,13.5,48
2124876,Pushkar Sinha,3067980,STRIKERS,7,7,10,84,2,3.07,8.40,2,4.3,43,Right-arm fast,14.0,51
6406110,Ashish Pandit,3980744,Vikings,7,6,10,59,4,7.12,5.90,0,7,70,Right-arm medium,9.5,27
21282541,Shubham Malusare,3067973,MAVERICKS,8,8,9,84,2,3.14,9.33,1,4.89,44,Right-arm fast,14.0,61
6521732,Gaurav Pillai,3067980,STRIKERS,7,7,9,84,4,3.64,9.33,0,5.67,51,Right-arm fast,14.0,55
8745736,Vishal Ratan Singh,3067973,MAVERICKS,8,8,9,84,2,4.79,9.33,0,7.44,67,Right-arm medium,14.0,50
850817,Eqhrishikesh Joshi,3980744,Vikings,7,7,8,60,2,5.90,7.50,1,7.38,59,Right-arm medium,10.0,35
10393119,Amit Deshmukh,3067979,PHOENIX,6,6,7,72,2,4.75,10.29,0,8.14,57,Right-arm medium,12.0,40
24593860,Mukesh Singh Arcus,3067975,Royal Warriors,5,5,7,60,4,4.90,8.57,0,7,49,Right-arm fast,10.0,39
2638892,Siddhanth Parekh,3980744,Vikings,7,6,7,48,3,7.50,6.86,0,8.57,60,Right-arm fast,8.0,21
3683944,Prashant Puri,3067979,PHOENIX,6,6,6,72,1,4.50,12.00,1,9,54,Right-arm fast,12.0,43
10392885,Suchit Awalgaonkar,3067979,PHOENIX,6,6,6,70,3,4.63,11.67,0,9,54,Right-arm medium,11.4,40
4249093,Ravi,3980744,Vikings,7,7,6,84,2,8.14,14.00,0,19,114,Right-arm fast,14.0,45
300110,TM Sachin Pimprikar,3980744,Vikings,5,4,5,48,2,2.25,9.60,1,3.6,18,Right-arm fast,8.0,34
3881514,Raghav,3067975,Royal Warriors,5,5,5,43,2,4.05,8.60,1,5.8,29,Right-arm fast,7.1,28
3552794,Prasad Kale Kp45,3980746,Royal Challengers,5,4,5,46,3,4.43,9.20,0,6.8,34,Right-arm medium,7.4,28
