player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
20121723,Jemin Mistry,3067975,Royal Warriors,8,8,19,90,3,4.07,4.74,0,3.21,61,Right-arm Leg Break,15.0,59
2124876,Pushkar Sinha,3980746,Royal Challengers,9,9,12,108,3,4.33,9.00,1,6.5,78,Right-arm fast,18.0,71
33119043,Rubal,3067975,Royal Warriors,8,8,11,78,2,5.15,7.09,1,6.09,67,Right-arm fast,13.0,46
20339498,Nikhil Deshpande Arcus,3980746,Royal Challengers,9,8,10,76,5,5.37,7.60,0,6.8,68,Right-arm medium,12.4,42
33119522,Saurabh Sonkar,3067975,Royal Warriors,8,8,10,46,2,7.96,4.60,0,6.1,61,Left-arm medium,7.4,21
4746732,Aradhya Deshmukh,3067980,STRIKERS,6,6,9,72,3,4.33,8.00,0,5.78,52,Right-arm Off Break,12.0,43
24593860,Mukesh Singh Arcus,3067973,MAVERICKS,6,6,9,66,3,6.82,7.33,0,8.33,75,Right-arm fast,11.0,29
20047642,Amit Moon,3067973,MAVERICKS,6,6,8,72,2,4.00,9.00,0,6,48,Right-arm fast,12.0,41
3881514,Raghav,3067979,PHOENIX,8,8,8,80,3,5.85,10.00,0,9.75,78,Right-arm fast,13.2,40
4249093,Ravi,3980744,Vikings,7,7,8,83,2,6.14,10.38,0,10.63,85,Right-arm fast,13.5,49
10395215,Amol Khodke,3067979,PHOENIX,8,7,8,72,3,6.25,9.00,0,9.38,75,Right-arm medium,12.0,38
19940642,Dinesh Patil Rahul Arcus,3980744,Vikings,7,7,8,84,2,6.36,10.50,1,11.13,89,Right-arm fast,14.0,47
10654571,Arun Raghuwanshi,12032999,Deccan Knights,6,6,7,54,2,9.67,7.71,0,12.43,87,Right-arm medium,9.0,24
19940638,Bibhu Prasad Panda,3067979,PHOENIX,8,7,6,37,2,5.68,6.17,0,5.83,35,Right-arm medium,6.1,18
7814874,Sudarshan Kabra,3980744,Vikings,7,7,6,84,2,6.21,14.00,0,14.5,87,Right-arm medium,14.0,40
2290558,Rohit V Abbigeri,3067979,PHOENIX,8,8,6,71,2,7.18,11.83,0,14.17,85,Right-arm Off Break,11.5,32
3683944,Prashant Puri,3067979,PHOENIX,8,8,5,90,2,3.53,18.00,0,10.6,53,Right-arm fast,15.0,55
43281347,Mandar Hanchate,3067975,Royal Warriors,8,8,5,95,2,5.12,19.00,0,16.2,81,Left-arm medium,15.5,52
